sample,industries,minimum_industry,minimum_percent,maximum_industry,maximum_percent,range_pp
Include usable cautions,17,"Transport, Postal and Warehousing",1,Information Media and Telecommunications,38.1,37.1
Exclude all flagged inputs,17,"Transport, Postal and Warehousing",1,Information Media and Telecommunications,38.1,37.1
