comparison,year,large_category,comparison_category,large_percent,comparison_percent,gap_pp,unflagged_inputs,large_cell,comparison_cell
Large minus micro,2024-25,200 or more persons,0–4 persons,34.7,10.7,24.0,True,L12,L9
Large minus small,2024-25,200 or more persons,5–19 persons,34.7,12.3,22.4,True,L12,L10
