series,start,end,start_value,end_value,change_pp,start_size_gap,end_size_gap,size_gap_change_pp,sensitivity_unflagged
social,2021-22,2024-25,46.7,50.9,4.2,40.4,44.3,3.9,True
received,2021-22,2024-25,30.4,32.2,1.8,16.3,20.6,4.3,True
